Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,AI_Keywords
DHS-0000-2023,DHS,Customs and Border Protection,,AI Curated Synthetic Data,"AI Curated Synthetic Data creates synthetic data for computer vision to enable more capable and ethical AI when detecting anomalies in complex environments.

Specifically, it creates an emulated X-ray sensor that can produce visually realistic synthetic X-ray scan images similar to real X-ray scan images, and virtual 3D Assets of vehicles and narcotics containers. These images will be used to enhance the development of Anomaly Detection Algorithms for Non-Intrusive Inspection, incorporating AI/ML for the detection of narcotics and other contraband in conveyances and cargo.",Initiation,Synthetic Image Generation,,Department of Homeland Security,"1. AI Curated Synthetic Data
2. Computer Vision
3. Anomaly Detection Algorithm
4. Non-Intrusive Inspection
5. X-ray Sensor Emulation
6. Synthetic Data Generation
7. Virtual 3D Assets
8. Narcotics Detection
9. Contraband Detection
10. AI/ML Integration"
DHS-0001-2023,DHS,Customs and Border Protection,,AI for Autonomous Situational Awareness,"The AI for autonomous situational awareness system is intended to use IoT sensor kits to covertly detect and track illicit cross-border traffic in remote locations. 

The system will leverage a motion image/video system enhanced with Artificial Intelligence that is capable of vehicle detection and direction determination. It will also incorporate a motion sensor that, when triggered, wakes up a high-resolution camera to capture a series of pictures, with additional sensors providing confirmation prior to camera capture. 

Images captured will be processed by Artificial Intelligence models to classify objects, determine vehicle direction at intersections, and provide imagery sufficient for re-identification. Ultimately, the systems is intended to create a low footprint, low cost, low power system to provide situational awareness and covert detection.",Development and Acquisition,Machine Vision,,Department of Homeland Security,"1. Autonomous situational awareness
2. IoT sensor kits
3. Motion image/video system
4. Vehicle detection
5. Direction determination
6. Motion sensor
7. High-resolution camera
8. Artificial Intelligence models
9. Object classification
10. Covert detection"
DHS-0002-2023,DHS,Customs and Border Protection,,Automated Item of Interest Detection - ICAD,"The software analyzes photographs that are taken by field imaging equipment, which are then fed into the ICAD system for review by USBP agents and personnel. The Matroid software currently processes and annotates images using proprietary software to determine if any of the images contain human subjects.

Matroid is the name of the Video Computer Aided Detection system used by CBP. It uses trained computer vision models that recognize objects, people, and events in any image or video stream. Once a detector is trained, it can monitor streaming video in real time, or efficiently search through pre-recorded video data or images to identify objects, people, and events of interest. 

The intent for the ICAD system is to expand the models used to vehicles, and subjects with long-arm rifles, while excluding items of little or no interest such as animals.",Operation and Maintenance,Machine Learning,,Department of Homeland Security,"- Image analysis
- Computer vision models
- ICAD system
- Object recognition
- Video processing
- Human subject detection
- Object exclusion
- Keyword extraction
- Real-time monitoring
- Video data analysis"
DHS-0003-2023,DHS,Customs and Border Protection,,Autonomous Aerostat,"Aerostat capability that uses three tethers instead of the traditional single tether, coupled with advanced weather sensors, analytic capabilities, and powerful winches. The AI/ML model is used to detect the need to launch and land based on weather. It also leverages AI and robotics to autonomously launch and recover the aerostat during inclement weather events without the need for on-site staffing, allowing the aerostat to operate autonomously, saving time and manpower.",Development and Acquisition,Automation & Robotics,,Department of Homeland Security,"1. Aerostat capability
2. Three tethers
3. Advanced weather sensors
4. Analytic capabilities
5. Powerful winches
6. AI/ML model
7. Weather detection
8. Autonomous launch and recovery
9. Inclement weather events
10. Manpower savings"
DHS-0004-2023,DHS,Customs and Border Protection,,Autonomous Maritime Awareness,"The Autonomous Maritime Awareness system combines surveillance towers, ocean data solutions, unmanned autonomous surface vehicles (ASV), and AI to autonomously detect, identify, and track items of interest in a maritime environment.

The towers are low-cost, customizable, and relocatable surveillance systems. They are equipped with a suite of radars and day/night camera sensors. The ASVs have been ruggedized for the open ocean and are powered by wind, solar, and/or onboard engine as required, allowing them to operate in an area of responsibility (AOR) for up to 12 months. Their sensor suite includes cameras and radar. 

Both systems use AI/ML to detect and identify objects, determine items of interest (IoI) and autonomously track those items using their sensor suites. Once identified, these systems can send alerts to monitoring agencies for at-sea interdictions of potential targets and/or intel collections.",Development and Acquisition,Machine Learning Automation & Robotics,,Department of Homeland Security,"1. Autonomous Maritime Awareness
2. Surveillance towers
3. Ocean data solutions
4. Unmanned autonomous surface vehicles (ASV)
5. AI
6. Detection
7. Identification
8. Tracking
9. Items of interest
10. Maritime environment"
DHS-0005-2023,DHS,Customs and Border Protection,,Autonomous Surveillance Towers (Anduril),"Autonomously Detects, Identifies, and Tracks items of interest using Artificial Intelligence integrated with the tower. It does not require a dedicated operator, is rapidly deployable, and is relocatable in less than a day by 2-3 people.

The system features a hybrid command and control capability, hosted in the government cloud, and is accessible via URL by desktop, laptop, tablet, or Smartphone. It is solar powered with battery backup and requires no accompanying physical infrastructure while providing visibility for 1.5 miles (2.4 km) for people, 3 miles (4.8km) for vehicles.

The Lattice system permits autonomous detection, identification, and tracking of Items of Interest (IoIs).  The tower scans constantly and autonomously.  The radar detects and recognizes movement. The camera slews autonomously to the IoI and the system software identifies the object.  The system alerts the user and autonomously tracks the IoI. End users can monitor the system and see near real time photos by logging into the User Interface on any CBP device. ",Operation and Maintenance,Machine Vision,,Department of Homeland Security,"1. Artificial Intelligence 
2. Autonomous Detection 
3. Identification 
4. Tracking 
5. Integrated Tower 
6. Rapid Deployment 
7. Relocatable 
8. Hybrid Command and Control 
9. Government Cloud 
10. Items of Interest (IoIs)"
DHS-0006-2023,DHS,Customs and Border Protection,,Data and Entity Resolution,"Automates data unification and entity resolution with a high level of trust at enterprise scale and speed.

Data and Entity Resolution uses Machine Learning modeling to ingest multiple data sources and develop models that associate disparate records to identify probable connections, unique entities, and/or identify commonalities between multiple independently submitted records.

The automation of entity resolution within the models is supported by a tool that enables non-technical end users to continuously train models through a user-friendly interface. ",Operation and Maintenance,Natural Language Processing (NLP),,Department of Homeland Security,"Keywords: Data Unification, Entity Resolution, Machine Learning, Model Training, Automation, Enterprise Scale, Trustworthy, High Speed, Multiple Data Sources, Unique Entities, Commonalities"
DHS-0007-2023,DHS,Customs and Border Protection,,Entity Resolution,"The third-party global trade data is used to augment and enrich agency’s investigations into entities of interest. It combines data from companies and goods across multiple languages, then provides network analysis to assess trade flows and risks associated with cross-border trade.

This can validate agency-held information or provide better understanding of networks of interest to the agency to better inform investigations that cross borders. AI/ML models help manage the information provided through the software, including behind-the-curtain collection of information, structuring of data, entity resolution, network analysis, risk analysis, and other functions that contribute to the software knowledge graph and frontend that end users interact with.  ",Development and Acquisition,Natural Language Processing (NLP),,Department of Homeland Security,"1. Global trade data analysis
2. Network analysis
3. Multilingual data processing
4. Entity resolution
5. Risk analysis
6. Cross-border trade investigation
7. Machine learning models
8. AI software
9. Data structuring
10. Knowledge graph creation"
DHS-0008-2023,DHS,Customs and Border Protection,,Geospatial imagery utilizing annotation,"Leverages a commercial constellation of Synthetic Aperture Radar (SAR) satellites with readily available data, capable of imaging any location on Earth, day, and night, regardless of cloud cover. 

Utilizes AI, including machine vision, object, detection, object recognition, and annotation to detect airframes, military vehicles, and marine vessels, as well as built-in change detection capabilities for disaster response missions.",Development and Acquisition,Machine Vision,,Department of Homeland Security,"1. Synthetic Aperture Radar (SAR)
2. Satellite imagery
3. Machine vision
4. Object detection
5. Object recognition
6. Annotation
7. Change detection
8. Disaster response
9. Commercial constellation 
10. Military vehicles"
DHS-0009-2023,DHS,Customs and Border Protection,,Integrated Digital Environment,"The Integrated Digital Environment provides managers with a better understanding of end user workflows, most and least used applications, and opportunities for improvement. 

The AI/ML model applies to end user activity data (e.g., use of applications, flow between applications) to help CBP identify opportunities for more efficient or effective configuration of interfaces, use of resources, or development and deployment of CBP’s applications.  It tailors analytics and insight generation to allow metrics gathering, usage recording/observation, dashboarding, and workflow experimentations/suggestions to support analysts utilizing the entire suite of agency and open-source data systems. It also customizes existing capabilities to allow the exact automations needed for agency applications and systems, creating an integrated digital environment for greater connectivity and security between applications, and better ability for CBP administrators to manage and optimize use of applications by end users.",Development and Acquisition,Natural Language Processing (NLP),,Department of Homeland Security,"1. Integrated Digital Environment
2. End User Workflows
3. AI/ML Model
4. Data Analysis
5. Workflow Optimization
6. Usage Recording
7. Dashboarding
8. Automation
9. Connectivity
10. Security"
